DateTime,5 HK Equity,1299 HK Equity,700 HK Equity,939 HK Equity,941 HK Equity,1398 HK Equity,2318 HK Equity,3988 HK Equity,388 HK Equity,883 HK Equity,1 HK Equity,386 HK Equity,2 HK Equity,823 HK Equity,11 HK Equity,16 HK Equity,3 HK Equity,1113 HK Equity,2388 HK Equity,2628 HK Equity,27 HK Equity,857 HK Equity,688 HK Equity,1093 HK Equity,1928 HK Equity,2007 HK Equity,175 HK Equity,6 HK Equity,1109 HK Equity,762 HK Equity
6/9/2016,59.9,50.4,215,6.07,95.5,5.05,42.35,3.7,198.1,9.7,102.2,5.7,79.5,56.7,137.6,118.1,12.066,56.25,28.35,19.36,27.15,5.24,27,7.87,32.95,3.834,6.95,75.8,23.35,9.25
7/9/2016,59.05,50.8,213.2,6.01,94.45,5.06,42.8,3.7,198,9.72,102.1,5.7,80.2,57.25,138.5,118.1,12.05,56.7,28.35,20.15,27.35,5.23,27.15,7.81,33.05,3.929,6.95,76.45,23.25,9.16
8/9/2016,59.3,50.9,215,6.03,96.25,5.06,43.3,3.7,198.6,9.63,102.2,5.7,80.65,57.65,138.8,120.8,12.099,57.6,28.8,20.55,28.95,5.23,26.8,7.78,34.5,3.948,6.94,76.65,23.05,9.28
9/9/2016,59.8,51.3,213.8,6.1,98,5.06,43.05,3.72,209.6,9.69,102.3,5.57,81,57.4,140.4,120.9,12.231,58.45,29.35,21.4,29.45,5.22,27.45,7.66,35.2,3.995,6.78,76.7,23.55,9.39
12/9/2016,58.25,50.1,207,5.77,94.5,4.83,41.55,3.56,201,9.43,99.5,5.42,79.3,56,138.8,116.7,12.017,56.25,28.7,20.2,28.35,5.11,26.2,7.53,34.45,3.948,6.65,75.5,22.15,8.96
13/9/2016,58,49.95,208,5.77,95.75,4.81,41.1,3.52,198,9.48,99.25,5.36,78.45,55.75,138,116.4,11.868,55.6,28.6,20.15,28.05,5.04,25.95,7.6,33.75,3.957,6.67,74.8,21.75,8.98
14/9/2016,57.4,50.05,208.6,5.79,95.5,4.8,40.9,3.53,199.3,9.37,99.7,5.31,78.45,55.1,138.1,115.2,11.884,55.55,28.75,20.05,28.6,4.99,26.05,7.53,34.15,3.948,6.69,74.85,21.9,9.07
15/9/2016,58.35,50.35,209.8,5.81,94.5,4.82,41.4,3.55,203.6,9.3,99.85,5.28,78.7,55.8,138.8,115.2,12.116,56.3,29.05,20.6,30.15,4.96,25.55,7.45,35.95,3.881,6.79,75.4,21.7,9.05
16/9/2016,58.35,50.35,209.8,5.81,94.5,4.82,41.4,3.55,203.6,9.3,99.85,5.28,78.7,55.8,138.8,115.2,12.116,56.3,29.05,20.6,30.15,4.96,25.55,7.45,35.95,3.881,6.79,75.4,21.7,9.05
19/9/2016,58.65,51.25,209.4,5.89,95.35,4.92,42.25,3.61,204.2,9.29,101.2,5.33,79.6,55.8,139.7,117.4,12.182,56.95,27.65,21.5,29.9,4.99,26.25,7.71,34.3,4.014,6.97,75.8,22.55,9.21
